Product,Interest Rate,APR,timestamp,lender_name,loan_term_years,updated_date
30-Year Fixed Rate,6.75%,6.81%,2025-07-25,BankRate,30,2025-07-25
20-Year Fixed Rate,6.50%,6.59%,2025-07-25,BankRate,20,2025-07-25
15-Year Fixed Rate,5.91%,6.01%,2025-07-25,BankRate,15,2025-07-25
10-Year Fixed Rate,5.92%,5.99%,2025-07-25,BankRate,10,2025-07-25
30-Year Fixed Rate FHA,6.44%,6.50%,2025-07-25,BankRate,30,2025-07-25
30-Year Fixed Rate VA,6.50%,6.54%,2025-07-25,BankRate,30,2025-07-25
30-Year Fixed Rate Jumbo,6.78%,6.84%,2025-07-25,BankRate,30,2025-07-25
30-Year Fixed Rate,6.77%,6.83%,2025-07-26,BankRate,30,2025-07-26
20-Year Fixed Rate,6.51%,6.62%,2025-07-26,BankRate,20,2025-07-26
15-Year Fixed Rate,5.96%,6.06%,2025-07-26,BankRate,15,2025-07-26
10-Year Fixed Rate,5.91%,5.99%,2025-07-26,BankRate,10,2025-07-26
30-Year Fixed Rate FHA,6.69%,6.75%,2025-07-26,BankRate,30,2025-07-26
30-Year Fixed Rate VA,6.80%,6.84%,2025-07-26,BankRate,30,2025-07-26
30-Year Fixed Rate Jumbo,6.81%,6.86%,2025-07-26,BankRate,30,2025-07-26
30-Year Fixed Rate,6.77%,6.83%,2025-07-27,BankRate,30,2025-07-27
20-Year Fixed Rate,6.51%,6.62%,2025-07-27,BankRate,20,2025-07-27
15-Year Fixed Rate,5.96%,6.06%,2025-07-27,BankRate,15,2025-07-27
10-Year Fixed Rate,5.91%,5.99%,2025-07-27,BankRate,10,2025-07-27
30-Year Fixed Rate FHA,6.69%,6.75%,2025-07-27,BankRate,30,2025-07-27
30-Year Fixed Rate VA,6.80%,6.84%,2025-07-27,BankRate,30,2025-07-27
30-Year Fixed Rate Jumbo,6.81%,6.86%,2025-07-27,BankRate,30,2025-07-27
30-Year Fixed Rate,6.77%,6.83%,2025-07-28,BankRate,30,2025-07-28
20-Year Fixed Rate,6.51%,6.62%,2025-07-28,BankRate,20,2025-07-28
15-Year Fixed Rate,5.96%,6.06%,2025-07-28,BankRate,15,2025-07-28
10-Year Fixed Rate,5.91%,5.99%,2025-07-28,BankRate,10,2025-07-28
30-Year Fixed Rate FHA,6.69%,6.75%,2025-07-28,BankRate,30,2025-07-28
30-Year Fixed Rate VA,6.80%,6.84%,2025-07-28,BankRate,30,2025-07-28
30-Year Fixed Rate Jumbo,6.81%,6.86%,2025-07-28,BankRate,30,2025-07-28
30-Year Fixed Rate,6.66%,6.72%,2025-08-07,BankRate,30,2025-08-07
20-Year Fixed Rate,6.41%,6.50%,2025-08-07,BankRate,20,2025-08-07
15-Year Fixed Rate,5.86%,5.95%,2025-08-07,BankRate,15,2025-08-07
10-Year Fixed Rate,5.70%,5.77%,2025-08-07,BankRate,10,2025-08-07
30-Year Fixed Rate FHA,6.69%,6.75%,2025-08-07,BankRate,30,2025-08-07
30-Year Fixed Rate VA,6.72%,6.77%,2025-08-07,BankRate,30,2025-08-07
30-Year Fixed Rate Jumbo,6.63%,6.68%,2025-08-07,BankRate,30,2025-08-07
